epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,64.858,1.2483,1.02846,0.99303,0.90978,0.91667,0.97833,0.64315,1.26249,1.15511,1.10185,0.00104231,0.00104231,0.00104231
43,66.2727,0.99888,0.90613,1.03401,0.90978,0.91667,0.97833,0.64315,1.26249,1.15511,1.10185,0.00103288,0.00103288,0.00103288
44,67.6942,1.18,1.0599,1.03982,0.96568,0.91667,0.97833,0.67835,1.15798,1.00695,1.03591,0.00102345,0.00102345,0.00102345
45,69.0712,1.03674,0.99562,0.96119,0.96568,0.91667,0.97833,0.67835,1.15798,1.00695,1.03591,0.00101402,0.00101402,0.00101402
46,71.4977,1.05042,0.96536,0.97853,0.96568,0.91667,0.97833,0.67835,1.15798,1.00695,1.03591,0.00100459,0.00100459,0.00100459
47,72.8873,1.08398,1.07732,0.97562,0.86021,0.98424,0.995,0.67626,1.1169,1.06856,1.00623,0.000995156,0.000995156,0.000995156
48,74.2453,1.05297,1.01994,0.99395,0.86021,0.98424,0.995,0.67626,1.1169,1.06856,1.00623,0.000985724,0.000985724,0.000985724
49,75.64,0.97028,1.01596,0.914,0.8601,0.9815,0.995,0.61033,1.20515,1.08792,1.02562,0.000976293,0.000976293,0.000976293
50,77.0349,1.03757,0.92959,0.95339,0.8601,0.9815,0.995,0.61033,1.20515,1.08792,1.02562,0.000966861,0.000966861,0.000966861
51,78.4128,1.08392,0.95739,0.95432,0.8601,0.9815,0.995,0.61033,1.20515,1.08792,1.02562,0.00095743,0.00095743,0.00095743
52,79.7986,1.01147,0.95565,0.99832,0.91126,0.91667,0.97833,0.64359,1.13171,0.98609,1.02868,0.000947999,0.000947999,0.000947999
53,81.1445,0.95913,0.95476,0.90844,0.91126,0.91667,0.97833,0.64359,1.13171,0.98609,1.02868,0.000938567,0.000938567,0.000938567
54,82.5128,0.99533,1.06846,1.02383,0.91126,0.91667,0.97833,0.64359,1.13171,0.98609,1.02868,0.000929136,0.000929136,0.000929136
55,83.9599,0.95236,0.91932,0.99251,0.93353,0.91667,0.97833,0.69389,1.10137,0.89547,1.00204,0.000919704,0.000919704,0.000919704
56,85.3144,0.97038,0.89512,0.96274,0.93353,0.91667,0.97833,0.69389,1.10137,0.89547,1.00204,0.000910273,0.000910273,0.000910273
57,86.7044,0.89471,0.85332,0.94839,0.93509,0.92458,0.995,0.74205,1.00002,0.87861,0.96374,0.000900842,0.000900842,0.000900842
58,88.0993,0.93099,0.88358,0.88369,0.93509,0.92458,0.995,0.74205,1.00002,0.87861,0.96374,0.00089141,0.00089141,0.00089141
59,89.4839,0.92419,1.07825,0.96551,0.93509,0.92458,0.995,0.74205,1.00002,0.87861,0.96374,0.000881979,0.000881979,0.000881979
60,90.8866,0.95345,0.81128,0.9248,0.91912,0.92503,0.995,0.67331,1.11717,0.99519,0.9963,0.000872547,0.000872547,0.000872547
61,92.2822,1.00529,1.04123,0.98762,0.91912,0.92503,0.995,0.67331,1.11717,0.99519,0.9963,0.000863116,0.000863116,0.000863116
